ごがく,study of foreign languages; linguistics,語学,Noun
たいき,atmosphere; magnanimity; generosity,大気,Noun
すいじゅん,level; standard; water level,水準,Noun
けいい,respect; honour; honor,敬意,Noun
めいわく,trouble; bother; annoyance; nuisance; to be troubled (by); to be bothered (by); to be inconvenienced (by),迷惑,Noun; Na-adjective; Suru verb
ひっし,frantic; frenetic; desperate; inevitable death; brinkmate (inevitable checkmate),必死,Na-adjective; No-adjective; Noun
きょうりょく,powerful; strong,強力,Na-adjective; Noun
さいばん,trial; judgement; judgment,裁判,Noun; Suru verb; No-adjective
まく,curtain; bunting; act (in play),幕,Noun; Counter
ゆかい,pleasant; delightful; enjoyable; joyful,愉快,Na-adjective; Noun
むかい,facing; opposite; across the street; other side,向い,Noun; No-adjective
であい,meeting; rendezvous; encounter; confluence,出会い,Noun
よぼう,prevention; precaution; protection against,予防,Noun; Suru verb; No-adjective
ず,drawing; picture; diagram; figure; sight; scene,図,Noun; Noun - used as a suffix
あつまり,gathering; meeting; assembly; collection,集まり,Noun
ひこう,aviation; flight; flying; to fly; to take a flight,飛行,Noun; Suru verb
りく,land; shore,陸,Noun
わ,ring; circle; loop; hoop; wheel; circle (e.g. of friends),輪,Noun
まご,grandchild,孫,Noun
さかり,height (e.g. of summer); peak (e.g. of cherry blossom season); (in) season; full bloom; prime (of one's life),盛り,Noun; Noun - used as a suffix
くみ,set (of items); group (of people); class (of students); company (esp. construction); family (i.e. mafia); typesetting; composition,組,Noun; Noun - used as a suffix
さわぎ,uproar; disturbance,騒ぎ,Noun; Noun - used as a suffix
ち,"earth; ground; land; soil; place; territory; bottom (of a package, book, etc.); earth (one of the five elements)",地,Noun; Noun - used as a suffix
ねんじゅう,"whole year; all year round; throughout the year; always; all the time; perpetually; during an era; middle class (of a nursery school, etc.)",年中,Noun; Adverb
かかり,charge; duty; person in charge; official; connection; linking,係,Noun
とい,question; query,問い,Noun
いはん,violation; offense; offence; breach,違反,Noun; Suru verb
しんり,state of mind; mentality; psychology,心理,Noun
かたがた,they (of people); gentlemen (of the ...); you (usu. plural); various,方々,Noun; Adverb
じゅん,order; turn; obedient; docile; submissive; meek,順,Noun; Noun - used as a suffix; Na-adjective
ちゅうがく,junior high school; middle school; lower secondary school,中学,Noun
つうしん,correspondence; communication; transmission; news,通信,Noun; Suru verb
いきおい,force; vigor; vigour; energy; influence; authority; power; might; impetus; momentum; course (of events); naturally; necessarily,勢い,Noun; Adverb
の,plain; field; hidden (structural) member; wild; lacking a political post,野,Noun; Noun - used as a prefix
やど,"lodging; inn; hotel; house; home; dwelling; home of a servant's parents (or guarantor, etc.)",宿,Noun
いね,rice plant,稲,Noun
じむ,office work; clerical work; administration; business,事務,Noun
きんよう,Friday,金曜,Adverbial noun; Temporal noun
にちじょう,everyday; daily; ordinary; usual,日常,No-adjective; Adverbial noun; Temporal noun
うつす,to change; to swap; to substitute; to transfer; to change the object of one's interest or focus; to spend or take time; to infect,移す,Godan verb with su ending; Transitive verb
よほう,forecast; prediction,予報,Noun; Suru verb
きみ,sensation; feeling; tendency; propensity,気味,Noun
てんねん,nature; spontaneity; natural airhead,天然,Noun; No-adjective
こうほ,candidate; contender; prospect; pick; candidacy; candidature; nomination,候補,Noun
はじまり,origin; beginning,始まり,Noun
かわ,leather,革,Noun
つうこう,"passage (of people, traffic); passing; common usage",通行,Noun; Suru verb
おき,open sea; Okinawa,沖,Noun
きんだい,"present day; modern times; recent times; early modern period (in Japan, usu. from the Meiji Restoration until the end of World War II)",近代,Noun
たがい,each other; one another,互い,Noun; No-adjective
てってい,"thoroughness; completeness; consistency; thorough enforcement; seeing to it that a policy, etc. is carried out without exception",徹底,Noun; Suru verb
もくよう,Thursday,木曜,Adverbial noun; Noun
じどう,automatic; intransitive verb,自動,No-adjective; Noun
きかん,engine; agency; organisation; organization; institution; system; facility; facilities,機関,Noun
きげん,humour; humor; temper; mood; safety; health; well-being; one's situation; in a good mood; in high spirits; happy; cheery,機嫌,Noun; Na-adjective
つれ,companion; company,連れ,Noun; Suru verb
めいじん,master; expert,名人,Noun
ちゅう,annotation; explanatory note; comment,注,Noun; Suru verb
さかい,border; boundary; turning point; watershed; area; region; spot; space; psychological state; mental state; cognitive object,境,Noun
おん,favour; favor; obligation; debt of gratitude,恩,Noun
だい,title; subject; theme; topic; problem (on a test); question; counter for questions (on a test),題,Noun; Noun - used as a suffix; Counter
がく,learning; scholarship; study; erudition; study of ...; -ology; -ics,学,Noun; Noun - used as a suffix
てんけい,type; pattern; model; epitome,典型,Noun
まことに,indeed; really; absolutely; truly,誠に,Adverb
たば,bundle; bunch; sheaf,束,Noun; Noun - used as a suffix; Counter
か,passable; acceptable; tolerable; fair,可,Noun; Noun - used as a suffix
よめ,wife; bride; (one's) daughter-in-law,嫁,Noun
ちゅうこ,used; second-hand; old; Middle Ages,中古,No-adjective; Noun
けんとう,estimate; guess; conjecture; aim; direction; bearings; registration mark (printing); approximately; about; around,見当,Noun; Noun - used as a suffix
こうそく,high-speed; rapid; express; highway; freeway; expressway; motorway,高速,Na-adjective; No-adjective; Noun
いわい,congratulation; congratulations; celebration; festival,祝い,Noun
ていき,fixed period; fixed term; regular; periodic; periodical; fixed-term commuter pass; fixed-term deposit; futures contracts,定期,Noun; No-adjective
いずみ,spring; fountain,泉,Noun
かげん,degree; extent; amount; balance; (health) condition; state of health; adjustment; moderation; regulation; addition and subtraction,加減,Noun; Noun - used as a suffix; Suru verb
さほう,"manners; etiquette; propriety; manner of production (esp. of prose, poetry, etc.); way of making",作法,Noun
さんこう,reference; consultation,参考,Noun; No-adjective
たく,house; home; one's husband,宅,Noun; Noun - used as a suffix
だん,"step; stair; (flight of) steps; (row of) stitches; grade; rank; level; counter for breaks in written language (or speech, etc.); dan",段,Noun; Counter
としょ,books,図書,Noun
かよう,Tuesday,火曜,Adverbial noun; Noun
らい,"next (year, etc.); since (last month, etc.)",来,Prefix; Suffix
あらわれ,embodiment; manifestation; materialization; materialisation,現れ,Noun
きょく,"bureau; department; office (e.g. post, telephone); broadcasting station (e.g. television, radio); channel; exchange; affair; situation",局,Noun; Noun - used as a suffix; Counter
しょうぼう,fire fighting; fire department; fire brigade,消防,Noun; Suru verb
たいせん,great war; great battle,大戦,Noun
おい,old age; old person; the old; the aged,老い,Noun
いまに,before long; even now,今に,Adverb
かん,perception; intuition; the sixth sense,勘,Noun
ご,honorific/polite/humble prefix; honorific suffix,御,Prefix; Suffix
よう,appearing ...; looking ...; way to ...; method of ...ing; form; style; design; like; similar to; thing (thought or spoken),様,Noun - used as a suffix; Noun
はく,"to put on (or wear) lower-body clothing (i.e. pants, skirt, etc.); to put on (or wear) footwear; to affix a sword to one's hip",履く,Godan verb with ku ending; Transitive verb
しんじる,to believe; to believe in; to place trust in; to confide in,信じる,Ichidan verb; Transitive verb
あたえる,to give (esp. to someone of lower status); to bestow; to grant; to confer; to provide; to afford; to offer; to supply; to assign; to cause,与える,Ichidan verb; Transitive verb
ぶん,part; segment; share; ration; rate; degree; one's lot; one's status; relation; relationship; connection; correspondence; in proportion to; just as much as,分,Noun; Noun - used as a suffix
ころ,(approximate) time; around; about; toward; suitable time (or condition); time of year; season,頃,Noun; Adverbial noun; Noun - used as a suffix
しらせ,news; word; tidings; notice; omen,知らせ,Noun
もとめる,to want; to wish for; to request; to demand; to seek; to search for; to pursue (pleasure); to hunt (a job); to purchase; to buy,求める,Ichidan verb; Transitive verb
える,to get; to earn; to acquire; to procure; to understand; to comprehend,得る,Ichidan verb; Transitive verb; Auxiliary verb
もの,person,者,Noun
うれしい,happy; glad; pleased; delighted; joyful; delightful; gratifying; pleasant,嬉しい,I-adjective
まなぶ,to study (in depth); to learn; to take lessons in,学ぶ,Godan verb with bu ending
すごす,to pass (time); to spend; to overdo (esp. of one's alcohol consumption); to drink (alcohol); to take care of; to support; to overdo; to do too much,過ごす,Godan verb with su ending; Transitive verb; Auxiliary verb
くらい,"throne; crown; (nobleman's) seat; government position; court rank; social standing; rank; class; echelon; grade (of quality, etc.); level; tier; rank",位,Noun
みとめる,to recognize; to recognise; to observe; to notice; to deem; to judge; to assess; to approve; to deem acceptable; to allow; to admit; to accept,認める,Ichidan verb; Transitive verb
きづく,to notice; to recognize; to recognise; to become aware of,気づく,Godan verb with ku ending; intransitive verb
くらす,to live; to get along; to spend (time),暮らす,Godan verb with su ending; intransitive verb
すう,several; a number of; quantity; amount; counting; figures; numbers; number; numeral; figure; grammatical number; destiny; fate; course of events; trend,数,Prefix; Noun; Noun - used as a suffix
きにいる,to like; to be pleased with; to be delighted with; to take a liking to,気に入る,Expression; Godan verb with ru ending
とく,"to untie; to unfasten; to unwrap; to undo; to unsew; to unstitch; to solve; to work out; to answer; to dispel (misunderstanding, etc.)",解く,Godan verb with ku ending; Transitive verb
すぐれる,to surpass; to outstrip; to excel,優れる,Ichidan verb; intransitive verb
ちこく,lateness; late coming,遅刻,Noun; Suru verb; No-adjective
したがう,"to obey (an order, law, etc.); to abide by (a rule, custom, etc.); to follow; to observe; to follow (a person); to accompany",従う,Godan verb with u ending; intransitive verb
たとえ,example; simile; metaphor; allegory; fable,例え,Noun
まわり,rotation; making the rounds; spreading; effect; efficacy; by way of; via; round; turn; size; 12-year period; 12-year age difference,回り,Noun; Noun - used as a suffix; Suffix; Counter
あらわす,to represent; to signify; to stand for; to reveal; to show; to display; to express; to make widely known,表す,Godan verb with su ending; Transitive verb
すこしも,anything of; not one bit (with negative sentence),少しも,Expression; Adverb
えがく,to draw; to paint; to sketch; to depict; to describe; to picture in one's mind; to imagine,描く,Godan verb with ku ending; Transitive verb
まる,circle; entirety; whole; full; complete; money; dough; moola; enclosure inside a castle's walls; soft-shelled turtle; suffix for ship names,丸,Noun; Noun - used as a prefix; Suffix
のべる,to state; to express; to mention,述べる,Ichidan verb; Transitive verb
あたる,to be hit; to strike; to touch; to be in contact; to be affixed; to be equivalent to; to be applicable; to apply to,当たる,Godan verb with ru ending; intransitive verb; Transitive verb
かい,meeting; assembly; party; association; club,会,Noun; Noun - used as a suffix
きく,to be effective; to show effect; to do its work; to carry out its function well; to be possible to use,効く,Godan verb with ku ending; intransitive verb
やく,approximately; about; promise; shortening; reduction; simplification; contraction (in phonetics),約,Adverb; Noun
さける,to avoid (physical contact with); to avoid (situation); to ward off; to avert,避ける,Ichidan verb; Transitive verb
かしこい,wise; clever; smart,賢い,I-adjective
たつ,to pass (of time); to elapse,経つ,Godan verb with tsu ending; intransitive verb
むちゅう,absorbed in; immersed in; crazy about; obsessed with; forgetting oneself; daze; trance; ecstasy; within a dream; while dreaming,夢中,Na-adjective; No-adjective; Noun
あきらめる,"to give up; to abandon (hope, plans); to resign oneself (to)",諦める,Ichidan verb; Transitive verb
ゆか,floor; stage (for the narrator and the shamisen player); dining platform built across a river,床,Noun
ことなる,to differ; to vary; to disagree,異なる,Godan verb with ru ending; intransitive verb
のばす,"to grow long (e.g. hair, nails); to lengthen; to extend; to stretch; to reach out; to hold out; to straighten; to smooth out",伸ばす,Godan verb with su ending; Transitive verb
かう,to keep (a pet or other animal); to have; to own; to raise,飼う,Godan verb with u ending; Transitive verb
さる,"to leave; to go away; to pass; to elapse; to be distant; to send away; to drive off; to divorce; to (do) completely; last ... (e.g. ""last April"")",去る,Godan verb with ru ending; intransitive verb; Transitive verb; Auxiliary verb; Pre-noun adjectival
しずむ,to sink; to go under; to submerge; to go down (e.g. sun); to set; to descend; to feel depressed; to become subdued; to become somber,沈む,Godan verb with mu ending; intransitive verb
かがやく,to shine; to glitter; to sparkle,輝く,Godan verb with ku ending
ねがう,to desire; to wish; to hope; to beg; to request; to implore; to pray; to have something done for oneself,願う,Godan verb with u ending; Transitive verb; Auxiliary verb
りこう,clever; intelligent; wise; bright; well-behaved (esp. children and pets); obedient; good; good (with words),利口,Na-adjective; Noun
とれる,"to come off; to be removed; (of pain, a fever, etc.) to disappear; to be caught; to be harvested; to be interpreted (as); to be taken as",取れる,Ichidan verb; intransitive verb; Transitive verb
いだく,to embrace; to hold in the arms (e.g. a baby); to hug; to harbour (e.g. grudge); to harbor; to bear; to have (e.g. ambition),抱く,Godan verb with ku ending; Transitive verb
たたく,to strike; to clap; to knock; to beat; to play drums; to abuse; to bash; to flame (e.g. on the Internet); to insult; to consult; to sound out; to brag,叩く,Godan verb with ku ending; Transitive verb
にあう,to suit; to match; to become; to be like,似合う,Godan verb with u ending; intransitive verb
におい,odour; odor; scent; smell; aura; whiff; smacks of ...; sense,匂い,Noun
まねく,to invite; to ask; to beckon; to wave someone in; to gesture to; to call in; to send for; to summon; to bring on oneself; to cause; to incur; to lead to,招く,Godan verb with ku ending; Transitive verb
まかせる,to entrust (e.g. a task) to another; to leave to; to passively leave to someone else's facilities; to leave to take its natural course,任せる,Ichidan verb; Transitive verb
わる,"to divide; to cut; to halve; to separate; to split; to break; to crack; to smash; to dilute; to fall below; to discount; to step over (a line, etc.)",割る,Godan verb with ru ending; Transitive verb
ふれる,to touch; to feel; to experience; to come in contact with; to perceive; to touch on (a subject); to allude to; to refer to; to mention; to be in conflict with,触れる,Ichidan verb; intransitive verb; Transitive verb
