ちょくりゅう,direct current; DC,直流,Noun; No-adjective
かそくど,acceleration,加速度,Noun
どうかく,the same rank; equality; apposition,同格,Noun; No-adjective; Na-adjective
ぶしゅ,radical (of a kanji character),部首,Noun
けんちょう,prefectural office; Kenchou,県庁,Noun; Place
めやす,criterion; standard; yardstick; reference; rough estimate; approximation; Meyasu,目安,Noun; Place
はっき,"show (of power, ability, etc.); exhibition; demonstration; display",発揮,Noun; Suru verb
あまる,to remain; to be left over; to be in excess; to be too many,余る,Godan verb with ru ending; intransitive verb
よびかける,to call out to; to hail; to address; to appeal,呼びかける,Ichidan verb; Transitive verb
かわら,roof tile,瓦,Noun
ゆうこう,friendship,友好,Noun
かんせつ,indirection; indirectness,間接,Noun; No-adjective
まいすう,the number of flat things; win-loss difference which influences the ranking of wrestlers,枚数,Noun
しょじゅん,first 10 days of the month,初旬,Adverbial noun; Noun
たんぺん,"short (e.g. story, film)",短編,Noun
いっせい,simultaneous; all at once,一斉,Adverbial noun; Noun
ずけい,figure; shape; graphic,図形,Noun
すいさん,aquatic products; fisheries,水産,Noun
げいのう,public entertainment; performing arts; accomplishments; attainments,芸能,Noun
かよう,song; ballad,歌謡,Noun
えいわ,English-Japanese (e.g. dictionary),英和,Noun
ごうり,rationality,合理,Noun
しゅうきん,money collection,集金,Noun; Suru verb
かこう,descent; fall; drop; decline,下降,Noun; Suru verb
げんさん,place of origin; habitat,原産,Noun; No-adjective
げんに,actually; really,現に,Adverb
ぞうげん,increase and decrease; fluctuation,増減,Noun; Suru verb
こたい,individual; specimen,個体,Noun; No-adjective
おうせつ,reception (e.g. of visitors); dealing with,応接,Noun; Suru verb
ぜんぱん,(the) whole; entirety; wholly; as a whole,全般,Noun; Noun - used as a suffix
ちゅうしょう,abstraction,抽象,Noun; Suru verb
さんかく,triangle; triangular shape,三角,Noun
じばん,"ground; crust (earth); bed (gravel, river, etc.); foundation (building, etc.); base; constituency; power base; support (electoral); footing",地盤,Noun
ちょぞう,storage; preservation,貯蔵,Noun; Suru verb
もる,"to serve (in a bowl, on a plate, etc.); to dish out; to dish up; to fill (a bowl) with; to pile up; to heap up; to fill up; to stack up",盛る,Godan verb with ru ending; Transitive verb
できあがり,completion; finish; workmanship; result; outcome,出来上がり,Noun
ちょうたん,(relative) length; advantages and disadvantages; pluses and minuses; strong and weak points; merits and demerits,長短,Noun
さしひき,deduction; subtraction; balance; ebb and flow; rise and fall,差し引き,Noun; Suru verb
とうしょ,"letter (e.g. of complaint); letter to the editor; letter from a reader; contribution (to a newspaper, magazine, etc.)",投書,Noun; Suru verb
どんぶり,"porcelain bowl; donburi; bowl of meat, fish, etc. served over rice",丼,Noun
こういん,factory worker,工員,Noun
たうえ,rice planting,田植え,Noun
ひろさ,extent,広さ,Noun
のうそん,agricultural community; farm village; rural,農村,Noun; No-adjective
こうそう,multistory; multistoried; high-rise; high,高層,No-adjective
ざしき,tatami room; tatami mat room; formal Japanese room; dinner party in a tatami room (esp. when a geisha or maiko attends),座敷,Noun
さんりん,mountain forest; forest on a mountain; montane forest; mountains and forest,山林,Noun
さんち,producing area,産地,Noun
じえい,self-defense; self-defence,自衛,Noun; Suru verb; No-adjective
もんどう,questions and answers; dialogue,問答,Noun; Suru verb
めざす,to aim at; to have an eye on; to go toward; to head for,目指す,Godan verb with su ending; Transitive verb
つぶす,to smash; to crush; to flatten; to shut down; to put out of business; to force (a company) to close up shop; to wreck; to break; to block; to thwart; to butcher,潰す,Godan verb with su ending; Transitive verb
