あげる,"to raise; to elevate; to do up (one's hair); to fly (a kite, etc.); to launch (fireworks, etc.); to surface (a submarine, etc.); to land (a boat)",上げる,Ichidan verb; Transitive verb; intransitive verb; Auxiliary verb
しょうがっこう,primary school; elementary school; grade school,小学校,Noun
ちゅうしゃじょう,parking lot; parking place; car park; carpark,駐車場,Noun
てんらんかい,exhibition,展覧会,Noun
せいよう,the west; Western countries,西洋,Noun; No-adjective
さか,slope; hill,坂,Noun
ちゅうしゃ,injection,注射,Noun; Suru verb
のりもの,"vehicle; conveyance; transport; ride (playground, fair, carnival); playground facility",乗り物,Noun
りょかん,"ryokan; traditional inn; Japanese-style lodging, usu. professionally-run",旅館,Noun
はやし,woods; forest; copse; thicket; bunch; line (of something); collection,林,Noun
ふとん,futon; Japanese bedding consisting of a mattress and a duvet; round cushion used for Zen meditation (traditionally made of woven bulrush leaves),布団,Noun
じゅうどう,judo,柔道,Noun
ちゅうがっこう,junior high school; middle school; lower secondary school,中学校,Noun
けんきゅうしつ,laboratory; seminar room; professor's office,研究室,Noun
かいぎしつ,conference room; council room,会議室,Noun
こうむいん,government worker; public servant; civil servant,公務員,Noun
はなみ,cherry blossom viewing; flower viewing,花見,Noun; Suru verb
こうとうがっこう,senior high school; high school,高等学校,Noun
じてん,dictionary; lexicon,辞典,Noun
こころ,"mind; heart; spirit; the meaning of a phrase (riddle, etc.)",心,Noun
ちから,force; strength; might; vigour (vigor); capability; ability; proficiency; capacity; efficacy; effect; effort; endeavours (endeavors); exertions; power,力,Noun
けんか,quarrel; brawl; fight; squabble,喧嘩,Noun; Suru verb
てんきよほう,weather forecast; weather report,天気予報,Noun
ひげ,"moustache; beard; whiskers; whiskers (on a cat, etc.); feelers (on an insect, etc.); (chin) tuft; extremely short pulse appearing on an electrical signal",髭,Noun
おしいれ,closet,押し入れ,Noun
みそ,"miso; fermented condiment usu. made from soybeans; innards (from crabs, shrimps, etc.) resembling miso; key (main) point; good part (of something)",味噌,Noun; Expression
あした,tomorrow; near future,明日,Temporal noun
おりる,to descend (e.g. a mountain); to go down; to come down; to alight (e.g. from bus); to get off; to disembark; to dismount; to step down; to retire; to give up,降りる,Ichidan verb; intransitive verb
かれ,he; him; boyfriend,彼,Pronoun; Noun
きゃく,guest; visitor; customer; client; shopper; spectator; Kyaku,客,Noun; Place
そふ,grandfather; old man; kyogen mask used for the role of an old man; Sofu,祖父,Noun; No-adjective; Place
こうこう,senior high school; high school; Koukou,高校,Noun; Place
きんじょ,neighbourhood; neighborhood; Kinjo,近所,Noun; No-adjective; Place
ばんぐみ,program (e.g. TV); programme; Bangumi,番組,Noun; Place
けんぶつ,sightseeing; watching; viewing; sightseer; watcher; spectator; Kenbutsu,見物,Noun; Suru verb; Place
アメリカ,America; United States of America; America,亜米利加,Noun; Place
かのじょ,she; her; girlfriend,彼女,Pronoun; Noun
おもう,to think; to consider; to believe; to reckon; to think (of doing); to plan (to do); to judge; to assess; to regard; to imagine; to suppose; to dream; to expect,思う,Godan verb with u ending; Transitive verb
ぼく,I; me; you; manservant,僕,Pronoun
ひつよう,necessary; needed; essential; indispensable; necessity; need; requirement,必要,Na-adjective; Noun
みえる,to be seen; to be in sight; to look; to seem; to appear; to come,見える,Ichidan verb; intransitive verb
かんがえる,"to think (about, of); to think over; to ponder; to contemplate; to consider; to bear in mind; to allow for",考える,Ichidan verb; Transitive verb
はじめる,"to start; to begin; to commence; to initiate; to start up (a business, society, etc.); to open (e.g. a store); to establish; to start ...",始める,Ichidan verb; Transitive verb; Auxiliary verb
うつくしい,beautiful; pretty; lovely; sweet,美しい,I-adjective
しけん,examination; exam; test; trial; experiment; test,試験,Noun; Suru verb
しんせつ,kind; gentle; considerate; generous,親切,Na-adjective; Noun
しっぱい,failure; mistake; blunder,失敗,Noun; No-adjective; Suru verb
いじょう,not less than; ... and more; ... and upwards; beyond ... (e.g. one's means); further (e.g. nothing further to say),以上,Adverbial noun; Temporal noun
いけん,opinion; view; comment,意見,Noun; Suru verb; No-adjective
けっして,never; by no means; not in the least; in no way,決して,Adverb
じゅうぶん,enough; sufficient; plenty; adequate; sufficiently; fully; thoroughly; well; division into ten,十分,Na-adjective; Adverb; Noun; Suru verb
しあい,match; game; bout; contest,試合,Noun; Suru verb
いっしょうけんめい,very hard; with utmost effort; with all one's might; for dear life,一生懸命,Na-adjective; Adverbial noun; Noun
こ,"child; young (animal); young woman; young geisha; offshoot; interest; new shares; player who is not a dealer (in cards, mahjong, etc.); bird egg",子,Noun; Noun - used as a suffix
さがす,"to search (for something desired, needed); to look for; to search (for something lost); to seek (a suspect in a crime)",探す,Godan verb with su ending; Transitive verb
いそぐ,to hurry; to rush; to hasten; to make something happen sooner,急ぐ,Godan verb with gu ending; intransitive verb; Transitive verb
えらぶ,to choose; to select,選ぶ,Godan verb with bu ending; Transitive verb
おくる,to send (a thing); to dispatch; to despatch; to transmit; to take or escort (a person somewhere); to see off (a person); to bid farewell (to the departed),送る,Godan verb with ru ending; Transitive verb
かならず,always; without exception; necessarily; certainly,必ず,Adverb
おこる,to get angry; to get mad; to tell someone off; to scold; to be angular; to be square,怒る,Godan verb with ru ending; intransitive verb; Transitive verb
さいきん,recently; lately; these days; nowadays; nearest; closest,最近,Adverbial noun; Temporal noun; No-adjective
はらう,"to pay (e.g. money, bill); to brush off; to wipe away; to clear away; to dust off; to drive away (e.g. one's competitors)",払う,Godan verb with u ending; Transitive verb
あう,to come together; to merge; to unite; to meet; to fit; to match; to suit; to agree with; to be profitable; to be equitable; to do ... to each other,合う,Godan verb with u ending; intransitive verb; Auxiliary verb
てん,"dot; spot; point; speck; mark (in an exam, etc.); grade; score; points; point (in a game); score; goal; run; point (in geometry); point; aspect; matter; detail",点,Noun; Counter
きめる,to decide; to choose; to determine; to make up one's mind,決める,Ichidan verb; Transitive verb
わらう,to laugh; to smile; to sneer; to ridicule; to be dumbfounded; to be flabbergasted,笑う,Godan verb with u ending; intransitive verb
さいしょ,beginning; outset; first; onset,最初,No-adjective; Adverbial noun; Temporal noun
はんたい,opposition; resistance; antagonism; hostility; reverse; opposite; inverse; contrary,反対,Noun; Suru verb; No-adjective; Na-adjective
むすめ,"daughter; girl (i.e. a young, unmarried woman)",娘,Noun
りゆう,reason; pretext; motive,理由,Noun
よろこぶ,to be delighted; to be glad; to be pleased; to congratulate; to gratefully accept,喜ぶ,Godan verb with bu ending
むかし,olden days; former,昔,No-adjective; Adverbial noun; Temporal noun
やくそく,promise; agreement; arrangement; one's word; convention; rule; destiny; fate,約束,Noun; Suru verb
おもいだす,to recall; to remember; to recollect,思い出す,Godan verb with su ending; Transitive verb
ただしい,right; correct; proper; righteous; just; honest,正しい,I-adjective
おちる,to fall down; to drop; to fall (e.g. rain); to sink (e.g. sun or moon),落ちる,Ichidan verb; intransitive verb
ばしょ,place; location; spot; position; room; space; basho; wrestling tournament,場所,Noun
たのしむ,to enjoy (oneself),楽しむ,Godan verb with mu ending
りよう,use; utilization; utilisation; application,利用,Noun; Suru verb
まにあう,"to be in time for; to serve (suit, meet) the purpose; to be good enough; to be enough",間に合う,Godan verb with u ending; intransitive verb
こんど,this time; now; next time; another time; shortly; soon; recently; previous; last,今度,Adverbial noun; Temporal noun
よてい,plans; arrangement; schedule; program,予定,Noun; Suru verb
たずねる,to visit; to call on; to pay a visit to,訪ねる,Ichidan verb; Transitive verb
すすむ,to advance; to go forward; to precede; to go ahead (of); to make progress; to improve; to deepen; to heighten; to be fast (of a clock); to be ahead,進む,Godan verb with mu ending; intransitive verb
あかんぼう,baby; infant,赤ん坊,Noun
さいご,end; conclusion; last; final; latest; most recent; no sooner than; once; right after (often having negative consequences); one's final moments,最後,Noun; No-adjective; Expression
むかう,to face; to go towards; to head towards,向かう,Godan verb with u ending; intransitive verb
とおる,to go by; to go past; to go along; to travel along; to run (between),通る,Godan verb with ru ending; intransitive verb; Suffix
きょうみ,interest (in something); curiosity (about something); zest (for),興味,Noun
じだい,period; epoch; era; age; the times; those days; oldness; ancientness; antiquity; antique; period piece,時代,Temporal noun; Noun
へんじ,reply; answer; response,返事,Noun; Suru verb
とちゅう,on the way; en route; in the middle of; midway,途中,Adverbial noun; Temporal noun
きもち,feeling; sensation; mood; preparedness; readiness; attitude; thanks; solicitude; sympathy; just a little; somewhat; slightly,気持ち,Noun; Adverb
かんたん,simple; easy; uncomplicated; brief; quick; light,簡単,Na-adjective; Noun
ふかい,deep; profound; dense; thick; close (relationship); intense; strong; late,深い,I-adjective
おこす,to raise; to raise up; to set up; to pick up; to wake; to wake up; to waken; to awaken; to cause; to bring about; to lead to; to trigger,起こす,Godan verb with su ending; Transitive verb
おっと,husband,夫,Noun
ばあい,case; situation,場合,Adverbial noun; Noun
いちど,once; one time; on one occasion; temporarily; for a moment; one degree; one tone; one musical interval,一度,Adverbial noun
はこぶ,"to carry; to transport; to move; to convey; to come; to go; to wield (a tool, etc.); to use; to go (well, etc.); to proceed; to progress",運ぶ,Godan verb with bu ending; Transitive verb; intransitive verb
こんや,this evening; tonight,今夜,Adverbial noun; Temporal noun
ぬすむ,to steal,盗む,Godan verb with mu ending; Transitive verb
しゅうかん,habit; custom; cultural practice,習慣,Noun; No-adjective
たいてい,mostly; ordinarily; usually; generally; probably; most; almost all; ordinary; proper; appropriate; moderate,大抵,Na-adjective; Adverb; Noun; No-adjective
のこる,to remain; to be left,残る,Godan verb with ru ending; intransitive verb
あがる,to rise; to go up; to come up; to ascend; to enter (esp. from outdoors); to come in; to go in; to enter (a school); to advance to the next grade,上がる,Godan verb with ru ending; intransitive verb; Suffix
せき,"seat; location (of a gathering, etc.); place; position; post",席,Noun
ねだん,price; cost,値段,Noun
しょうらい,future (usually near); prospects,将来,Adverbial noun; Temporal noun
やさしい,tender; kind; gentle; graceful,優しい,I-adjective
にげる,to escape; to run away,逃げる,Ichidan verb; intransitive verb
くうき,air; atmosphere; mood; situation; someone with no presence; someone who doesn't stand out at all,空気,Noun
やくにたつ,to be helpful; to be useful,役に立つ,Expression; Godan verb with tsu ending
こたえ,answer; reply; response; solution,答え,Noun
よやく,reservation; appointment; booking; advance order; contract; subscription; pledge; programming (e.g. a device); setting (e.g. a timer),予約,Noun; Suru verb
きかい,chance; opportunity,機会,Noun
げんいん,cause; origin; source,原因,Noun; Suru verb
かじ,fire; conflagration,火事,Noun
どろぼう,thief; burglar; robber; theft; burglary; robbery,泥棒,Noun; Suru verb
かみ,hair (on the head),髪,Noun
きそく,rule; regulation,規則,Noun
おこなう,to perform; to do; to conduct oneself; to carry out,行う,Godan verb with u ending; Transitive verb
かわり,substitute; replacement; substituting; replacing; stand-in; proxy; alternate; deputy; compensation; exchange; return; another helping; second helping,代わり,Noun; No-adjective
みつかる,to be found; to be discovered,見つかる,Godan verb with ru ending; intransitive verb
うつ,"to hit; to strike; to knock; to beat; to strike (noon, etc.); to sound (cymbals, etc.); to beat (a drum, etc.)",打つ,Godan verb with tsu ending; Transitive verb
ふえる,to increase; to multiply,増える,Ichidan verb; intransitive verb
きびしい,severe; strict; rigid; unsparing; intense (e.g. cold); harsh; tough,厳しい,I-adjective
むかえる,to go out to meet; to receive; to welcome; to greet; to salute,迎える,Ichidan verb; Transitive verb
こわい,scary; frightening; eerie; dreadful,怖い,I-adjective
しゃちょう,company president; manager; director,社長,Noun
しょうかい,introduction; presentation; referral; listing,紹介,Noun; Suru verb; No-adjective
あつめる,to collect; to assemble; to gather,集める,Ichidan verb; Transitive verb
ほし,"star (usu. not including the Sun); planet (usu. not including Earth); heavenly body; star (glyph, symbol, shape); star (actor, player, etc.); small dot",星,Noun
じむしょ,office,事務所,Noun
とくに,particularly; especially; in particular; expressly,特に,Adverb
あつまる,to gather; to collect; to assemble,集まる,Godan verb with ru ending; intransitive verb
くらべる,to compare; to make a comparison; to compete; to vie,比べる,Ichidan verb; Transitive verb
むり,"unreasonable; unnatural; unjustifiable; impossible; forcible; forced; compulsory; excessive (work, etc.); immoderate; to work too hard; to try too hard; no way",無理,Na-adjective; Noun; Suru verb; No-adjective
ようい,preparation; arrangements; provision; getting ready,用意,Noun; Suru verb
おとす,"to drop; to lose; to let fall; to shed (light); to clean off (dirt, makeup, paint, etc.)",落とす,Godan verb with su ending; Transitive verb
ぐあい,condition; state; health; state (of health); way; manner; circumstance; luck; face; dignity; decency; propriety,具合,Noun
こわれる,to be broken; to break; to fall through; to come to nothing,壊れる,Ichidan verb; intransitive verb
たおれる,"to fall (over, down); to collapse; to take a fall; to topple; to be destroyed (in a collapse); to collapse; to cave in; to crumble",倒れる,Ichidan verb; intransitive verb
あじ,flavor; flavour; taste; charm; style; experience; smart; clever; witty; strange,味,Noun; Na-adjective
あんぜん,safety; security,安全,Noun; Na-adjective
へん,strange; odd; peculiar; weird; unexpected; change; incident; disturbance; disaster; accident; flat,変,Na-adjective; Noun; Noun - used as a prefix
れんらく,to contact; to get in touch; contacting; getting in touch; communication; call; connection; coordination; junction; intercalary; intercalaris; internuncial,連絡,Suru verb; No-adjective; Noun
そぼ,grandmother,祖母,Noun; No-adjective
だいじ,important; serious; crucial; valuable; precious; serious matter; major incident; matter of grave concern; crisis; great undertaking; great enterprise; great thing,大事,Na-adjective; Noun
さがる,to come down; to go down; to fall; to drop; to hang; to dangle; to move back; to step back; to withdraw; to retire; to deteriorate; to fall off,下がる,Godan verb with ru ending; intransitive verb
こわす,"to break; to destroy; to demolish; to wreck; to ruin; to spoil; to damage; to break (a bill, etc.)",壊す,Godan verb with su ending; Transitive verb
きまる,to be decided; to be settled; to look good in (clothes),決まる,Godan verb with ru ending; intransitive verb
きしゃ,train (esp. long distance train); steam train,汽車,Noun
たしか,sure; certain; positive; definite; reliable; trustworthy; safe; sound; If I'm not mistaken; If I remember correctly; If I remember rightly,確か,Na-adjective; Noun; Adverb
たのしみ,enjoyment; pleasure; diversion; amusement; anticipation; looking forward to,楽しみ,Na-adjective; Noun
