,あさって,day after tomorrow
,あそこ,over there
,あちら,there
,あっち,over there
,あなた,you
,あの,that over there
,あの,um...
,アパート,apartment
,あびる,"to bathe, to shower"
,あまり,not very
,ある,"to be,to have (used for inanimate objects)"
,あれ,that
,いい/よい,good
,いいえ,no
,いかが,how
,いくつ,"how many?,how old?"
,いくら,how much?
,いす,chair
,いちばん,"best, first"
,いつ,when
,いつも,always
,いろいろ,various
,ええ,yes
,エレベーター,elevator
,おいしい,delicious
,おなか,stomach
,おばあさん,"grandmother, female senior-citizen"
,おまわりさん,friendly term for policeman
,おもしろい,Interesting
,かかる,to take time or money
,かぎ,Key
,かける,to call by phone
,カップ,Cup
,かばん,"bag, basket"
,カメラ,camera
,カレー,Curry
,カレンダー,calendar
,かわいい,Cute
,ギター,Guitar
,きれい,"pretty, clean"
,キロ/キログラム,Kilogram
,キロ/キロメートル,Kilometer
,ください,Please
,クラス,Class
,グラム,Gram
,コート,"coat, tennis court"
,コーヒー,Coffee
,ここ,Here
,こちら,this person or way
,こっち,this person or way
,コップ,a glass
,この,This
,コピーする,to copy
,これ,This
,こんな,Such
,さあ,well…
,しかし,However
,じゃ/じゃあ,well then…
,シャツ,Shirt
,シャワー,Shower
,しょうゆ,soy sauce
,スカート,Skirt
,すぐに,Instantly
,ストーブ,Heater
,スプーン,Spoon
,スポーツ,Sport
,ズボン,Trousers
,スリッパ,Slippers
,する,to do
,セーター,"sweater, jumper"
,せっけん,Economy
,ゼロ,Zero
,そうして/そして,And
,そこ,that place
,そちら,over there
,そっち,over there
,その,That
,そば,"near, beside"
,それ,that
,それから,after that
,それでは,in that situation
,たいへん,very
,たいへん,difficult situation
,たくさん,many
,タクシー,taxi
,たて,"length,height"
,たばこ,"tobacco,cigarettes"
,たぶん,probably
,だんだん,gradually
,ちゃわん,rice bowl
,ちょうど,exactly
,ちょっと,somewhat
,つける,to turn on
,つまらない,boring
,テープ,tape
,テーブル,table
,テープレコーダー,tape recorder
,できる,to be able to
,テスト,test
,では,with that...
,デパート,department store
,でも,but
,テレビ,television
,ドア,Western style door
,トイレ,toilet
,どう,"how,in what way"
,どうして,for what reason
,どうぞ,please
,どうも,thanks
,どこ,where
,どちら,which of two
,どっち,which
,とても,very
,どなた,who
,どの,which
,どれ,which (of three or more)
,ナイフ,knife
,なぜ,why
,など,et cetera
,なる,to become
,ニュース,news
,ネクタイ,"tie,necktie"
,ノート,"notebook,exercise book"
,パーティー,party
,はい,yes
,はく,"to wear,to put on trousers"
,はし,chopsticks
,バス,bus
,バター,butter
,パン,bread
,ハンカチ,handkerchief
,フィルム,roll of film
,プール,swimming pool
,フォーク,fork
,ふろ,bath
,ページ,page
,ベッド,bed
,ペット,pet
,ペン,pen
,ボールペン,ball-point pen
,ほか,"other, the rest"
,ポケット,pocket
,ポスト,post
,ボタン,button
,ホテル,hotel
,ほんとう,truth
,まずい,unpleasant
,また,"again,and"
,まだ,"yet,still"
,まっすぐ,"straight ahead,direct"
,マッチ,match
,みんな,everyone
,メートル,metre
,もう,already
,もっと,more
,やる,to do
,ゆっくりと,slowly
,よく,"often, well"
,ラジオ,radio
,ラジカセ / ラジオカセット,radio cassette player
,りっぱ,splendid
,レコード,record
,レストラン,restaurant
,ワイシャツ,business shirt
,より、ほう,Used for comparison
